Area DAP Length Width Year 
2.89 19 2.5 1.1 1994 
16.91 19 4.6 1.9 1994 
22.45 19 5 2.5 1994 
41.72 20 7.5 3.3 1994 
37.34 20 6.9 3 1994 
31.94 20 6.1 2.6 1994 
19.12 20 4.6 2.3 1994 
51.47 21 7.2 3.2 1994 
28.44 21 5.7 2.5 1994 
58.46 21 7.6 3.7 1994 
26.62 21 5.3 2.7 1994 
79.62 22 9.6 4.5 1994 
63.5 22 8.3 4 1994 
38.41 22 6.4 3 1994 
54.89 23 8 3.1 1994 
44.97 23 7.1 3.4 1994 
63.64 23 8.6 3.5 1994 
47.3 24 7 2.9 1994 
54.65 24 7.8 3.5 1994 
73.46 24 9.5 4.9 1994 
47.98 24 6.7 3.3 1994 
62.72 26 8.3 3.7 1994 
66.03 26 7.6 3.6 1994 
52.83 26 8.3 3.9 1994 
44.97 26 6.4 3.2 1994 
59.65 27 8.2 4 1994 
30.83 27 6.4 2.7 1994 
59.39 27 7.8 3.5 1994 
61.58 27 8.6 4.1 1994 
10.54 28 3.4 1.5 1994 
34.2 28 6.6 2.8 1994 
70.04 28 7.9 3.6 1994 
46.96 28 7.3 3.4 1994 
83.12 29 9.7 4.5 1994 
79.36 29 8.4 4.2 1994 
54.26 29 8.5 3.3 1994 
45.28 29 7.6 3.4 1994 
69.18 30 9.1 4.8 1994 
66.83 30 8 4.1 1994 
31.5 30 5.6 2.7 1994 
37.49 30 6.5 3.1 1994 
37.97 34 6.4 3.2 1994 
79.28 34 9.5 4.8 1994 
64.58 34 8.4 4.4 1994 
40.01 34 5.6 2.8 1994 
72.32 35 8.9 4.4 1994 
60.08 35 8.3 3.9 1994 
38.11 35 6 2.9 1994 
66.92 35 8.7 3.5 1994 
71.07 36 9.1 4.6 1994 
57.53 36 7.5 3.5 1994 
64.23 36 8.2 3.5 1994 
65.1 36 8.3 3.5 1994 
73.6 37 9.1 4.7 1994 
60.94 37 8.3 3.7 1994 
71.57 37 9.1 3.9 1994 
62.64 37 8.1 3.9 1994 
50.28 40 6.7 3.3 1994 
57.31 40 7.2 3.5 1994 
50.45 40 8.1 3.3 1994 
73.23 41 9.3 4.4 1994 
68.61 41 8.3 4.3 1994 
73.97 41 8.9 4.7 1994 
56.32 41 7.8 4.2 1994 
83.32 42 10.1 4.8 1994 
68.83 42 8.7 4.4 1994 
49.33 42 7.5 3.2 1994 
65.96 42 8.6 4.1 1994 
48.36 43 6.9 3 1994 
23.98 43 5.2 2.4 1994 
57.45 43 8 3.8 1994 
69.74 43 9 4.1 1994 
86.38 44 10.8 5 1994 
38.11 44 6.6 3 1994 
39.09 44 6 2.8 1994 
68.58 44 8.5 4.1 1994 
63.87 48 9 4.2 1994 
58.96 48 8.3 3.6 1994 
57.33 48 8.4 3.8 1994 
71.35 48 8.9 4.2 1994 
23.94 21 5.3 2.8 1995 
12.63 21 3.5 1.8 1995 
28.03 21 5.8 2.2 1995 
15.87 21 4.8 1.8 1995 
48.92 22 6.9 3.2 1995 
41.54 22 6.7 4.2 1995 
69.52 22 8.9 4.4 1995 
47.56 22 6.6 3.3 1995 
39.83 23 6.2 3 1995 
55.12 23 8.5 3.4 1995 
57.45 23 8.1 3.4 1995 
18.3 23 4.5 2.2 1995 
25.91 24 4.9 2 1995 
42.71 24 6.8 3.5 1995 
43.51 24 7.1 3.4 1995 
45.85 24 7.2 3.6 1995 
33.28 25 5.8 2.7 1995 
51.51 25 6.9 3.9 1995 
48.55 25 6.8 3.3 1995 
68.5 25 9.6 3.9 1995 
39.96 26 6.3 3.5 1995 
51 26 7.4 3 1995 
33.52 26 6.5 3.4 1995 
50.84 26 7 3.2 1995 
42.71 27 7.3 3.2 1995 
53.93 27 6.9 3.1 1995 
78.88 27 8.1 4.2 1995 
48.55 27 6.8 3.3 1995 
39.8 28 6.6 3.1 1995 
41.7 28 6.7 3.3 1995 
39.5 28 5.6 3.3 1995 
56.96 28 7.4 3.7 1995 
60.9 29 8.5 4 1995 
53.96 29 7.4 3.5 1995 
30.51 29 7.3 2.8 1995 
46.87 29 8.8 3 1995 
46.64 30 6.4 3.6 1995 
56.98 30 8 3.8 1995 
64.41 30 8.6 3.8 1995 
55.07 30 9.1 3.2 1995 
32.02 31 6.4 2.6 1995 
59.93 31 7.3 3.2 1995 
58.65 31 7.7 3.2 1995 
76.45 31 9.1 4 1995 
51.78 32 8.1 3 1995 
57.6 32 7.3 3.5 1995 
64.41 32 9.2 3.5 1995 
65.25 32 9.1 3.2 1995 
77.4 35 8.7 4.1 1995 
64.74 35 8.8 3.5 1995 
58.94 35 9.8 3.3 1995 
67.21 35 8.2 3.6 1995 
43.4 36 6.6 3.2 1995 
44.21 36 8.1 3.1 1995 
40.86 36 7.1 3 1995 
54.37 36 8.5 2.6 1995 
49.72 37 7 3 1995 
51.09 37 7.5 3.6 1995 
41.84 37 7.1 3.6 1995 
38.31 37 6.1 2.5 1995 
41.87 38 7 3.6 1995 
61.46 38 8.4 3.8 1995 
31.27 38 5.2 3.3 1995 
30.71 38 4.8 3.2 1995 
68.14 39 8.2 3.4 1995 
51.44 39 6.8 3.2 1995 
51.78 39 6.7 3.7 1995 
45.29 39 6.8 2.7 1995 
